id,subSite,siteCode,siteName,typeSite,numberOfPeople,penaltyRate,workDate,workingPeople,,
53,66LML0011_1,66LML0011,NMT - งานสวน กม.21,ชดแรงภายในวัน,12,1500,22/1/2025,12,,
54,66LML0011_1,66LML0011,NMT - งานสวน กม.21,ชดแรงภายในวัน,12,1500,23/1/2025,12,,
55,66LML0011_1,66LML0011,NMT - งานสวน กม.21,ชดแรงภายในวัน,12,1500,24/1/2025,12,,
56,66LML0011_1,66LML0011,NMT - งานสวน กม.21,ชดแรงภายในวัน,12,1500,25/1/2025,12,,
57,66LML0011_1,66LML0011,NMT - งานสวน กม.21,ชดแรงภายในวัน,12,1500,26/1/2025,0,,
58,66LML0011_1,66LML0011,NMT - งานสวน กม.21,ชดแรงภายในวัน,12,1500,27/1/2025,12,,
59,66LML0011_1,66LML0011,NMT - งานสวน กม.21,ชดแรงภายในวัน,12,1500,28/1/2025,12,,
60,66LML0011_1,66LML0011,NMT - งานสวน กม.21,ชดแรงภายในวัน,12,1500,29/1/2025,12,,
61,66LML0011_1,66LML0011,NMT - งานสวน กม.21,ชดแรงภายในวัน,12,1500,30/1/2025,12,,
62,66LML0011_1,66LML0011,NMT - งานสวน กม.21,ชดแรงภายในวัน,12,1500,31/1/2025,12,,
63,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,1/1/2025,0,,NMT - งานสวน กม.22
64,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,1/2/2025,13,,
65,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,1/3/2025,13,,
66,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,1/4/2025,13,,
67,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,1/5/2025,0,,
68,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,1/6/2025,13,,
69,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,1/7/2025,13,,
70,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,1/8/2025,13,,
71,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,1/9/2025,13,,
72,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,1/10/2025,13,,
73,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,1/11/2025,13,,
74,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,1/12/2025,0,,
75,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,13/1/2025,13,,
76,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,14/1/2025,13,,
77,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,15/1/2025,13,,
78,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,16/1/2025,13,,
79,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,17/1/2025,13,,
80,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,18/1/2025,13,,
81,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,19/1/2025,0,,
82,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,20/1/2025,13,,
83,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,21/1/2025,13,,
84,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,22/1/2025,13,,
85,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,23/1/2025,13,,
86,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,24/1/2025,13,,
87,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,25/1/2025,13,,
88,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,26/1/2025,0,,
89,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,27/1/2025,13,,
90,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,28/1/2025,13,,
91,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,29/1/2025,13,,
92,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,30/1/2025,13,,
93,66LML0011_2,66LML0011,NMT - งานสวน กม.22,ชดแรงภายในวัน,13,1500,31/1/2025,13,,
94,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,1/1/2025,0,,
95,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,1/2/2025,2,,
96,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,1/3/2025,2,,
97,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,1/4/2025,2,,
98,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,1/5/2025,0,,
99,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,1/6/2025,2,,
100,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,1/7/2025,2,,
101,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,1/8/2025,2,,
102,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,1/9/2025,2,,
